Residential,Commercial,Industrial,Total,dates
3456900,3333400,2693500,9504000,2008-03-01
3072200,3382900,2789900,9265400,2008-04-01
2975700,3466900,2837500,9299200,2008-05-01
4045900,3979100,2907500,,2008-06-01
4618700,4131356,2855700,11627000,2008-07-01
4466400,4006300,2856500,11350000,2008-08-01
3902600,3943000,2863700,10730000,2008-09-01
3100300,3575800,2715000,9411700,2008-10-01
3192200,3413800,2651300,9277700,2008-11-01
4038600,3457600,2447400,9965000,2008-12-01
4394500,3536900,,10375000,2009-01-01
4114700,3536100,2548500,10223000,2009-02-01
3435500,3305100,2392600,9155100,2009-03-01
3054400,3326800,2447200,8848800,2009-04-01
3042300,3393900,2424200,8879900,2009-05-01
3813200,3827700,2522700,10184000,2009-06-01
4435400,3913600,2528700,10899000,2009-07-01
4458800,3992800,2651600,11124000,2009-08-01
3838800,3830000,2662100,10352000,2009-09-01
3179100,3500400,2562900,9261800,2009-10-01
3100900,3296700,2521300,8938600,2009-11-01
4000400,3499300,2487600,10009000,2009-12-01
4758100,3487800,2437100,10706000,2010-01-01
4387200,3598100,2649700,10659000,2010-02-01
3606100,3282300,2526400,9435850,2010-03-01
2934900,3326300,2620700,8901700,2010-04-01
3059500,3424900,2648800,9152600,2010-05-01
4249900,3979500,2778700,11030000,2010-06-01
4990000,4126600,2765900,11904000,2010-07-01
4969500,4166700,2836357,11993000,2010-08-01
4152800,3971200,2779700,10925000,2010-09-01
3119000,3498700,2647800,9285200,2010-10-01
3105538,3384000,2653800,9163300,2010-11-01
4194000,3484700,2590800,10292000,2010-12-01
4679400,3492000,2583641,10778000,2011-01-01
4289600,3564100,2727200,10604000,2011-02-01
3384600,3363131,2651900,9421000,2011-03-01
3123400,3350200,2678900,9173500,2011-04-01
3151300,3471800,2647100,,2011-05-01
4199400,3939000,2797100,10956911,2011-06-01
4991300,4131100,2814400,11958000,2011-07-01
4959300,4173200,2870600,12023000,2011-08-01
4090600,3931700,2831400,10875000,2011-09-01
3051100,3504800,2718800,9294600,2011-10-01
3107300,3351700,2695700,9174500,2011-11-01
3752900,3382800,2580100,9736900,2011-12-01
4060700,3394800,2555000,10031464,2012-01-01
3723300,3451000,2699900,9895963,2012-02-01
3205200,3305600,2622500,9152600,2012-03-01
2936800,3367900,2701000,9025300,2012-04-01
3254700,3574208,2731500,9579600,2012-05-01
4097800,3933600,2787300,10839000,2012-06-01
4986400,4146300,2813500,11967000,2012-07-01
4772300,4132500,2842100,11767000,2012-08-01
3961000,3886200,2735300,,2012-09-01
3118400,3563581,2677300,,2012-10-01
3238500,3388000,2628200,9273700,2012-11-01
3683471,3358800,2527700,9589900,2012-12-01
4251100,3475100,2597000,10345000,2013-01-01
4039800,3607700,2739000,10410013,2013-02-01
3616000,3355200,2595900,9587900,2013-03-01
3184700,3379800,2673900,9259400,2013-04-01
3070700,3505900,2738600,9335400,2013-05-01
3932700,3913700,2805700,10673000,2013-06-01
4640500,4106800,2802800,11571000,2013-07-01
4453700,4098800,2832500,11406000,2013-08-01
4047300,3946900,2767500,10783000,2013-09-01
3190100,3609900,2676800,9495800,2013-10-01
3263500,3446100,2654400,9383100,2013-11-01
4160200,3508500,2518300,10209000,2013-12-01
4726200,3673100,2585400,11008000,2014-01-01
4588400,3726900,2693300,11034000,2014-02-01
3684900,3450577,2598000,9754500,2014-03-01
3076300,3415300,2683500,9196500,2014-04-01
3088000,3537600,2754300,9400700,2014-05-01
3935000,3947400,2857000,10760000,2014-06-01
4420300,4046300,2852200,11339000,2014-07-01
4381600,4051700,2897000,11351000,2014-08-01
4024700,,2849600,10897000,2014-09-01
3162500,3645900,2741700,9570300,2014-10-01
3316200,3474800,2701500,9513800,2014-11-01
3896800,3486100,2584600,9987700,2014-12-01
4436500,3578700,2491700,10529000,2015-01-01
4420600,3768400,2661100,10875193,2015-02-01
3769900,3477000,2496600,9765400,2015-03-01
2997500,3465800,2601900,9085900,2015-04-01
3060100,3520200,2604400,9204500,2015-05-01
3997500,3970400,2792400,10780738,2015-06-01
4690900,4143500,2754843,11610000,2015-07-01
4648100,4141500,2770700,11581000,2015-08-01
4166400,4070500,2744700,11002000,2015-09-01
3196000,3637400,2610200,9464200,2015-10-01
3079400,3464700,2545900,9110300,2015-11-01
3581700,3429430,2449100,9480300,2015-12-01
4219200,3559200,2460900,10260000,2016-01-01
3997000,3563400,2561800,10145000,2016-02-01
,,2458700,9104900,2016-03-01
